"loan_id","creditor_id","requested_date","payment_date","due_date","repayment_date","region_id","subdistrict_id","amount","volume","quality","loan_type","date","due_date2","interest","interest_type","tenure","days_past_due"
"6273","471c132b-6534-4b19-93e7-3716c1e0345f","1/4/2018 0:10","1/4/2018 2:39","4/20/2018 7:06","","6","0","200","14","73.3","Financing Company","6/30/2017","12/30/2018","46.69","Fixed Interest Rates","548","0"
"6828","471c132b-6534-4b19-93e7-3716c1e0345f","7/4/2018 0:14","8/4/2018 5:23","4/27/2018 12:37","","6","9","200","13","67.6","Financing Company","6/30/2017","12/30/2018","46.69","Fixed Interest Rates","548","0"
"7005","471c132b-6534-4b19-93e7-3716c1e0345f","8/4/2018 10:37","9/4/2018 8:09","4/28/2018 11:24","","6","36","200","14","73.8","Financing Company","6/30/2017","12/30/2018","46.69","Fixed Interest Rates","548","0"
"7212","471c132b-6534-4b19-93e7-3716c1e0345f","11/4/2018 5:29","12/4/2018 5:34","3/5/2018 9:43","","6","33","200","13","73.8","Financing Company","6/30/2017","12/30/2018","46.69","Fixed Interest Rates","548","0"
"7334","471c132b-6534-4b19-93e7-3716c1e0345f","3/14/2018 14:17","3/15/2018 7:17","5/3/2018 10:30","4/19/2018 5:23","6","13","200","12","64","Financing Company","6/30/2017","12/30/2018","46.69","Fixed Interest Rates","548","0"
"7581","471c132b-6534-4b19-93e7-3716c1e0345f","3/17/2018 22:46","3/18/2018 6:34","8/2/2018 11:43","4/19/2018 5:23","6","40","200","14","71.3","Financing Company","6/30/2017","12/30/2018","46.69","Fixed Interest Rates","548","0"
"7707","471c132b-6534-4b19-93e7-3716c1e0345f","3/19/2018 4:51","3/19/2018 7:26","9/2/2018 11:46","","6","12","200","14","73.43","Financing Company","6/30/2017","12/30/2018","46.69","Fixed Interest Rates","548","0"
"6655","68783997-e8f0-49ad-a83c-dcd9b75a8acb","4/4/2018 7:44","7/4/2018 0:35","4/26/2018 7:20","5/9/2018 7:18","6","14","200","14","68.5","Financing Company","5/10/2018","4/27/2019","2.95","Fixed Interest Rates","352","0"
"6804","68783997-e8f0-49ad-a83c-dcd9b75a8acb","6/4/2018 7:53","7/4/2018 0:35","4/26/2018 7:20","1/1/2019 2:35","6","54","200","14","66.7","Financing Company","5/10/2018","4/27/2019","2.95","Fixed Interest Rates","352","0"
"6963","68783997-e8f0-49ad-a83c-dcd9b75a8acb","8/4/2018 4:05","9/4/2018 8:09","4/28/2018 11:24","1/1/2019 2:35","6","126","200","15","64.05","Financing Company","5/10/2018","4/27/2019","2.95","Fixed Interest Rates","352","0"
"7111","68783997-e8f0-49ad-a83c-dcd9b75a8acb","10/4/2018 1:27","12/4/2018 5:34","3/5/2018 9:43","4/21/2019 0:00","6","112","200","14","63","Financing Company","5/10/2018","4/27/2019","2.95","Fixed Interest Rates","352","0"
"7317","68783997-e8f0-49ad-a83c-dcd9b75a8acb","12/4/2018 14:16","3/15/2018 7:25","5/3/2018 10:30","4/21/2019 0:00","6","34","200","14","67","Financing Company","5/10/2018","4/27/2019","2.95","Fixed Interest Rates","352","0"
"7337","68783997-e8f0-49ad-a83c-dcd9b75a8acb","3/14/2018 21:55","3/15/2018 8:36","5/3/2018 10:30","5/20/2018 0:00","6","51","200","14","67.4","Financing Company","5/10/2018","4/27/2019","2.95","Fixed Interest Rates","352","0"
"7542","68783997-e8f0-49ad-a83c-dcd9b75a8acb","3/17/2018 6:40","3/17/2018 6:57","8/2/2018 6:12","4/21/2019 0:00","6","60","200","14","61.666666666667","Financing Company","5/10/2018","4/27/2019","2.95","Fixed Interest Rates","352","0"
"6274","331533aa-0620-4342-a521-73a1d2b8d872","1/4/2018 1:10","1/4/2018 9:04","4/21/2018 1:20","4/23/2018 19:17","6","1","200","4","65.3","Conventional Commercial Bank","9/4/2017","9/4/2020","6","Floating Interest Rates","1096","0"
"6858","5777f684-ad49-4618-886a-821ae417b032","7/4/2018 5:39","7/4/2018 9:30","4/27/2018 11:33","","2","0","200","12","80.5","Financing Company","4/18/2018","10/7/2018","2.95","Fixed Interest Rates","172","0"
"6277","46a7a8a3-106f-48cb-8609-c9ee45c5efe5","1/4/2018 2:19","2/4/2018 4:02","4/23/2018 2:31","","6","2","500","14","74.11","","","","","","",""
"7239","46a7a8a3-106f-48cb-8609-c9ee45c5efe5","11/4/2018 13:27","12/4/2018 5:34","3/5/2018 9:43","2/2/2018 7:36","6","24","200","","","","","","","","",""
"7619","46a7a8a3-106f-48cb-8609-c9ee45c5efe5","3/18/2018 5:45","3/18/2018 6:38","8/2/2018 11:43","4/22/2018 6:13","6","29","200","12","72.3","","","","","","",""
"6490","9a4f17e6-18f5-4eee-9255-ecd8b63a3781","2/4/2018 15:03","4/4/2018 7:42","4/23/2018 12:22","","6","3","200","13","70.4","Conventional Commercial Bank","7/30/2015","7/30/2017","3.67","Fixed Interest Rates","731","0"
"6492","9a4f17e6-18f5-4eee-9255-ecd8b63a3781","2/4/2018 15:04","4/4/2018 7:42","4/23/2018 12:22","","6","4","200","13","69.8","Conventional Commercial Bank","7/30/2015","7/30/2017","3.67","Fixed Interest Rates","731","0"
"6752","9a4f17e6-18f5-4eee-9255-ecd8b63a3781","5/4/2018 6:56","8/4/2018 5:23","4/27/2018 12:37","12/2/2018 2:28","6","55","200","14","71.9","Conventional Commercial Bank","7/30/2015","7/30/2017","3.67","Fixed Interest Rates","731","0"
"6753","9a4f17e6-18f5-4eee-9255-ecd8b63a3781","5/4/2018 6:56","8/4/2018 5:23","4/27/2018 12:37","","6","105","200","14","71.2","Conventional Commercial Bank","7/30/2015","7/30/2017","3.67","Fixed Interest Rates","731","0"
"7053","9a4f17e6-18f5-4eee-9255-ecd8b63a3781","9/4/2018 5:01","9/4/2018 8:08","4/28/2018 11:24","4/12/2018 5:10","6","3","200","13","71.5","Conventional Commercial Bank","7/30/2015","7/30/2017","3.67","Fixed Interest Rates","731","0"
"7482","9a4f17e6-18f5-4eee-9255-ecd8b63a3781","3/16/2018 13:50","3/17/2018 6:57","8/2/2018 6:12","","6","119","200","14","71.63","Conventional Commercial Bank","7/30/2015","7/30/2017","3.67","Fixed Interest Rates","731","0"
"7483","9a4f17e6-18f5-4eee-9255-ecd8b63a3781","3/16/2018 13:50","3/17/2018 6:57","8/2/2018 6:12","","6","48","300","14","70.8","Conventional Commercial Bank","7/30/2015","7/30/2017","3.67","Fixed Interest Rates","731","0"
"7682","9a4f17e6-18f5-4eee-9255-ecd8b63a3781","3/19/2018 2:12","3/19/2018 7:26","9/2/2018 11:46","4/23/2018 5:31","6","3","100","11","70.33","Conventional Commercial Bank","7/30/2015","7/30/2017","3.67","Fixed Interest Rates","731","0"
"7683","9a4f17e6-18f5-4eee-9255-ecd8b63a3781","3/19/2018 2:13","3/19/2018 7:26","9/2/2018 11:46","4/21/2018 1:54","6","11","200","14","71.7","Conventional Commercial Bank","7/30/2015","7/30/2017","3.67","Fixed Interest Rates","731","0"
"6279","c6d89458-0050-4bdb-9889-93c406fdd9f2","1/4/2018 3:25","1/4/2018 9:04","4/21/2018 1:20","4/12/2018 5:16","6","3","200","12","69.9","Conventional Commercial Bank","3/6/2016","3/6/2020","3.14","Fixed Interest Rates","1461","0"
"6432","c6d89458-0050-4bdb-9889-93c406fdd9f2","2/4/2018 4:14","2/4/2018 9:01","4/23/2018 2:59","4/12/2018 5:17","6","17","200","13","59","Conventional Commercial Bank","3/6/2016","3/6/2020","3.14","Fixed Interest Rates","1461","0"
"6591","c6d89458-0050-4bdb-9889-93c406fdd9f2","3/4/2018 16:13","4/4/2018 7:43","4/23/2018 12:22","4/12/2018 5:17","6","40","200","14","71.37","Conventional Commercial Bank","3/6/2016","3/6/2020","3.14","Fixed Interest Rates","1461","0"
"7191","c6d89458-0050-4bdb-9889-93c406fdd9f2","11/4/2018 1:49","12/4/2018 5:34","3/5/2018 9:43","","6","48","200","14","69.67","Conventional Commercial Bank","3/6/2016","3/6/2020","3.14","Fixed Interest Rates","1461","0"
"7380","c6d89458-0050-4bdb-9889-93c406fdd9f2","3/15/2018 9:19","3/16/2018 8:18","6/2/2018 10:56","","6","0","200","14","72.13","Conventional Commercial Bank","3/6/2016","3/6/2020","3.14","Fixed Interest Rates","1461","0"
"7472","c6d89458-0050-4bdb-9889-93c406fdd9f2","3/16/2018 11:48","3/17/2018 6:58","8/2/2018 6:12","","6","26","100","14","70.33","Conventional Commercial Bank","3/6/2016","3/6/2020","3.14","Fixed Interest Rates","1461","0"
"7574","c6d89458-0050-4bdb-9889-93c406fdd9f2","3/17/2018 15:14","3/18/2018 6:33","8/2/2018 11:43","","6","40","200","13","71","Conventional Commercial Bank","3/6/2016","3/6/2020","3.14","Fixed Interest Rates","1461","0"
"7706","c6d89458-0050-4bdb-9889-93c406fdd9f2","3/19/2018 4:47","3/19/2018 7:26","9/2/2018 11:46","","6","38","200","14","72.8","Conventional Commercial Bank","3/6/2016","3/6/2020","3.14","Fixed Interest Rates","1461","0"
"7771","c6d89458-0050-4bdb-9889-93c406fdd9f2","3/20/2018 4:16","3/20/2018 5:07","10/3/2018 9:15","","6","32","200","14","71.43","Conventional Commercial Bank","3/6/2016","3/6/2020","3.14","Fixed Interest Rates","1461","0"
"6280","75427c98-c45a-4f54-a22b-b75a8857f96e","1/4/2018 3:40","2/4/2018 9:01","4/23/2018 3:16","1/1/2019 0:00","2","4","200","","","Conventional Commercial Bank","5/14/2018","5/14/2023","19.75","Floating Interest Rates","1826","0"
"6996","75427c98-c45a-4f54-a22b-b75a8857f96e","8/4/2018 8:59","9/4/2018 4:03","4/28/2018 12:30","","2","117","200","13","67.7","Conventional Commercial Bank","5/14/2018","5/14/2023","19.75","Floating Interest Rates","1826","0"
"6997","75427c98-c45a-4f54-a22b-b75a8857f96e","8/4/2018 9:00","9/4/2018 4:03","4/28/2018 12:30","5/26/2018 0:00","2","36","200","","","Conventional Commercial Bank","5/14/2018","5/14/2023","19.75","Floating Interest Rates","1826","0"
"6379","54322a82-5179-4c6f-848b-aa3fe9efd727","1/4/2018 22:37","8/4/2018 5:23","4/27/2018 12:37","","6","3","500","15","61","Conventional Commercial Bank","12/21/2013","12/21/2016","12","Fixed Interest Rates","1096","0"
