creditor_id,loan_type,date,due_date,interest,interest_type,tenure,days_past_due
68783997-e8f0-49ad-a83c-dcd9b75a8acb,Financing Company,2018-05-10,2019-04-27,2.95,Fixed Interest Rates,352,0
5777f684-ad49-4618-886a-821ae417b032,Financing Company,2018-04-18,2018-10-07,2.95,Fixed Interest Rates,172,0
9a4f17e6-18f5-4eee-9255-ecd8b63a3781,Conventional Commercial Bank,2015-07-30,2017-07-30,3.67,Fixed Interest Rates,731,0
9a4f17e6-18f5-4eee-9255-ecd8b63a3781,Conventional Commercial Bank,2017-07-02,2018-07-02,3.19,Fixed Interest Rates,365,0
54322a82-5179-4c6f-848b-aa3fe9efd727,Conventional Commercial Bank,2013-12-21,2016-12-21,12.0,Fixed Interest Rates,1096,0
54322a82-5179-4c6f-848b-aa3fe9efd727,Conventional Commercial Bank,2013-12-30,2017-04-27,13.0,Fixed Interest Rates,1214,91
54322a82-5179-4c6f-848b-aa3fe9efd727,Conventional Commercial Bank,2015-07-23,2019-07-23,15.5,Floating Interest Rates,1461,0
54322a82-5179-4c6f-848b-aa3fe9efd727,Conventional Commercial Bank,2017-03-10,2019-03-09,9.5,Floating Interest Rates,729,0
54322a82-5179-4c6f-848b-aa3fe9efd727,Conventional Commercial Bank,2017-11-18,2020-11-18,10.0,Floating Interest Rates,1096,0
839f4083-a3a6-4a6d-81db-c79af3691ff6,Conventional Commercial Bank,2017-12-17,2023-01-01,21.0,Fixed Interest Rates,1841,0
450b2c45-ab13-4e1a-97e4-16a499a01fef,Conventional Commercial Bank,2016-07-14,2017-07-14,3.19,Fixed Interest Rates,365,0
09e77d10-1118-4a92-9008-98c6bd8b7187,Conventional Commercial Bank,2014-10-18,2015-10-18,3.71,Fixed Interest Rates,365,0
09e77d10-1118-4a92-9008-98c6bd8b7187,Conventional Commercial Bank,2015-12-13,2016-06-13,15.0,Fixed Interest Rates,183,0
09e77d10-1118-4a92-9008-98c6bd8b7187,Conventional Commercial Bank,2016-07-30,2017-07-30,3.19,Fixed Interest Rates,365,0
09e77d10-1118-4a92-9008-98c6bd8b7187,Conventional Commercial Bank,2017-08-19,2018-08-19,3.19,Fixed Interest Rates,365,0
09e77d10-1118-4a92-9008-98c6bd8b7187,Conventional Commercial Bank,2018-11-16,2019-08-16,6.0,Floating Interest Rates,273,0
450b2c45-ab13-4e1a-97e4-16a499a01fef,Conventional Commercial Bank,2015-07-18,2016-07-18,3.71,Fixed Interest Rates,366,0
450b2c45-ab13-4e1a-97e4-16a499a01fef,Financing Company,2018-12-09,2022-12-09,8.8,Fixed Interest Rates,1461,0
bcc0e3bd-ee77-43ed-8cf0-8fe411c16554,Financing Company,2015-02-21,2015-08-21,32.28,Fixed Interest Rates,181,0
bcc0e3bd-ee77-43ed-8cf0-8fe411c16554,Conventional Commercial Bank,2015-02-23,2015-08-21,32.75,Fixed Interest Rates,179,0
bcc0e3bd-ee77-43ed-8cf0-8fe411c16554,Conventional Commercial Bank,2016-11-28,2019-11-28,6.0,Floating Interest Rates,1095,0
56b668df-62cd-48ec-b964-9190e8413f48,Financing Company,2013-06-25,2015-12-25,28.22,Fixed Interest Rates,913,8
56b668df-62cd-48ec-b964-9190e8413f48,Conventional Commercial Bank,2014-05-12,2018-05-12,10.8,Fixed Interest Rates,1461,0
56b668df-62cd-48ec-b964-9190e8413f48,Financing Company,2016-01-29,2017-07-29,40.16,Fixed Interest Rates,547,58
56b668df-62cd-48ec-b964-9190e8413f48,Conventional Commercial Bank,2016-08-29,2020-08-29,11.04,Fixed Interest Rates,1461,0
474bbb64-d268-4973-ac6d-8e5958cedf0d,Conventional Commercial Bank,2015-08-15,2018-08-15,3.72,Fixed Interest Rates,1096,0
9be46e46-e3fc-4c8b-a9ff-ed440d749b6e,Financing Company,2018-02-15,2019-02-05,45.92,Fixed Interest Rates,355,0
43621376-da2b-46f0-9b25-1ce6fbefb89e,Conventional Commercial Bank,2013-04-21,2016-04-21,4.82,Fixed Interest Rates,1096,0
43621376-da2b-46f0-9b25-1ce6fbefb89e,Conventional Commercial Bank,2016-05-27,2019-05-27,3.17,Fixed Interest Rates,1095,0
43621376-da2b-46f0-9b25-1ce6fbefb89e,Conventional Commercial Bank,2018-10-13,2021-10-13,6.0,Floating Interest Rates,1096,0
e580c0c7-3bb2-484f-9c04-993d6c1829ef,Financing Company,2014-05-25,2017-04-06,26.0,Fixed Interest Rates,1047,0
bcebe365-24d8-40c9-9848-c58545017a7c,Conventional Commercial Bank,2015-12-12,2016-07-12,15.0,Fixed Interest Rates,213,0
bcebe365-24d8-40c9-9848-c58545017a7c,Conventional Commercial Bank,2016-08-27,2017-08-27,3.19,Fixed Interest Rates,365,0
bcebe365-24d8-40c9-9848-c58545017a7c,Conventional Commercial Bank,2017-08-10,2018-08-10,3.19,Fixed Interest Rates,365,0
bcebe365-24d8-40c9-9848-c58545017a7c,Conventional Commercial Bank,2018-10-08,2019-10-08,6.0,Floating Interest Rates,365,0
72513dad-ca31-4b89-830c-b09790a5e5ac,Financing Company,2014-11-06,2016-05-06,46.31,Fixed Interest Rates,547,0
72513dad-ca31-4b89-830c-b09790a5e5ac,Conventional Commercial Bank,2016-10-26,2018-10-26,6.0,Floating Interest Rates,730,0
72513dad-ca31-4b89-830c-b09790a5e5ac,Financing Company,2017-01-22,2019-01-22,50.14,Fixed Interest Rates,730,0
72513dad-ca31-4b89-830c-b09790a5e5ac,Conventional Commercial Bank,2017-11-17,2018-11-17,6.0,Floating Interest Rates,365,0
72513dad-ca31-4b89-830c-b09790a5e5ac,Conventional Commercial Bank,2018-09-14,2020-09-14,6.0,Floating Interest Rates,731,0
178ae8bb-47b4-419f-b7e1-cd1685435d25,Conventional Commercial Bank,2014-07-28,2016-07-28,3.73,Fixed Interest Rates,731,0
178ae8bb-47b4-419f-b7e1-cd1685435d25,Conventional Commercial Bank,2016-06-11,2019-06-11,6.0,Floating Interest Rates,1095,0
178ae8bb-47b4-419f-b7e1-cd1685435d25,Financing Company,2016-10-27,2019-10-22,19.97,Fixed Interest Rates,1090,10
178ae8bb-47b4-419f-b7e1-cd1685435d25,Conventional Commercial Bank,2017-01-27,2019-10-22,11.2,Fixed Interest Rates,998,10
178ae8bb-47b4-419f-b7e1-cd1685435d25,Conventional Commercial Bank,2018-03-18,2021-03-18,6.0,Floating Interest Rates,1096,0
bcfff020-5399-4ffc-bd59-940c649c0cff,Conventional Commercial Bank,2017-06-12,2019-12-12,6.0,Floating Interest Rates,913,0
980bf471-251a-4c5c-835f-ad73f0072809,Conventional Commercial Bank,2017-12-19,2020-12-19,3.13,Fixed Interest Rates,1096,0
07dda916-42c0-4c7f-b2df-e3bb8a8a8987,Conventional Commercial Bank,2015-07-25,2020-07-26,24.0,Fixed Interest Rates,1828,0
e125aeda-b20f-4dce-a73d-ac38f5a5815b,Conventional Commercial Bank,2007-11-30,2012-12-01,21.0,Floating Interest Rates,1828,0
e125aeda-b20f-4dce-a73d-ac38f5a5815b,Conventional Commercial Bank,2012-11-29,2015-12-01,21.0,Fixed Interest Rates,1097,1076
e125aeda-b20f-4dce-a73d-ac38f5a5815b,Financing Company,2015-06-01,2016-11-04,47.88,Fixed Interest Rates,522,301
e125aeda-b20f-4dce-a73d-ac38f5a5815b,Financing Company,2012-05-25,2015-05-08,14.9,Margin,1078,115
3c688917-f524-4ffa-8149-f252565fc594,Financing Company,2014-08-14,2019-07-14,12.0,Margin,1795,0
3c688917-f524-4ffa-8149-f252565fc594,Financing Company,2013-05-16,2016-05-16,19.94,Fixed Interest Rates,1096,50
3c688917-f524-4ffa-8149-f252565fc594,Financing Company,2016-02-20,2017-02-20,48.5,Fixed Interest Rates,366,0
3c688917-f524-4ffa-8149-f252565fc594,Financing Company,2017-08-03,2019-08-03,52.62,Fixed Interest Rates,730,0
3c688917-f524-4ffa-8149-f252565fc594,Financing Company,2016-12-23,2017-12-23,119.8,Fixed Interest Rates,365,0
3c688917-f524-4ffa-8149-f252565fc594,Financing Company,2014-06-28,2017-02-28,14.95,Fixed Interest Rates,976,69
3c688917-f524-4ffa-8149-f252565fc594,Conventional Commercial Bank,2014-08-14,2019-07-14,7.2,Fixed Interest Rates,1795,0
3c688917-f524-4ffa-8149-f252565fc594,Financing Company,2011-08-21,2015-08-21,18.96,Fixed Interest Rates,1461,0
f4943af3-a6d0-45b3-9a4e-50a4fd51d693,Financing Company,2018-09-06,2018-10-06,0.0,Fixed Interest Rates,30,27
f4943af3-a6d0-45b3-9a4e-50a4fd51d693,Financing Company,2018-08-26,2018-09-26,0.17,Fixed Interest Rates,31,5
f4943af3-a6d0-45b3-9a4e-50a4fd51d693,Financing Company,2018-08-20,2018-09-26,0.14,Fixed Interest Rates,37,5
f4943af3-a6d0-45b3-9a4e-50a4fd51d693,Financing Company,2018-08-28,2018-09-26,0.22,Fixed Interest Rates,29,5
f4943af3-a6d0-45b3-9a4e-50a4fd51d693,Conventional Commercial Bank,2018-08-19,2021-08-19,6.0,Floating Interest Rates,1096,0
f4943af3-a6d0-45b3-9a4e-50a4fd51d693,Financing Company,2018-09-06,2018-10-06,0.0,Fixed Interest Rates,30,0
f4943af3-a6d0-45b3-9a4e-50a4fd51d693,Conventional Commercial Bank,2016-03-12,2019-03-12,3.17,Fixed Interest Rates,1095,0
f4943af3-a6d0-45b3-9a4e-50a4fd51d693,Conventional Commercial Bank,2014-08-21,2016-08-21,3.73,Fixed Interest Rates,731,0
f4943af3-a6d0-45b3-9a4e-50a4fd51d693,Financing Company,2018-08-20,2018-09-26,0.22,Fixed Interest Rates,37,36
88ce31c8-3440-4be0-980a-f027244a1869,Conventional Commercial Bank,2016-02-07,2020-12-07,6.0,Floating Interest Rates,1765,0
88ce31c8-3440-4be0-980a-f027244a1869,Conventional Commercial Bank,2014-03-01,2017-03-01,10.9,Fixed Interest Rates,1096,0
