loan_id,creditor_id,requested_date,payment_date,due_date,repayment_date,region_id,subdistrict_id,amount,volume,quality
6273,471c132b-6534-4b19-93e7-3716c1e0345f,2018-01-04 00:10:38,2018-01-04 02:39:51,2018-04-20 07:06:39,,6,0,200.0,14.0,73.3
6274,331533aa-0620-4342-a521-73a1d2b8d872,2018-01-04 01:10:21,2018-01-04 09:04:25,2018-04-21 01:20:34,2018-04-23 19:17:54,6,1,200.0,4.0,65.3
6277,46a7a8a3-106f-48cb-8609-c9ee45c5efe5,2018-01-04 02:19:34,2018-02-04 04:02:29,2018-04-23 02:31:57,,6,2,500.0,14.0,74.11
6279,c6d89458-0050-4bdb-9889-93c406fdd9f2,2018-01-04 03:25:05,2018-01-04 09:04:25,2018-04-21 01:20:34,2018-04-12 05:16:53,6,3,200.0,12.0,69.9
6280,75427c98-c45a-4f54-a22b-b75a8857f96e,2018-01-04 03:40:46,2018-02-04 09:01:53,2018-04-23 03:16:07,2019-01-01 00:00:00,2,4,200.0,,
6281,b8b46e20-c6f2-44fc-ac21-0ed7417afe7d,2018-01-04 03:41:33,2018-02-04 04:02:29,2018-04-23 02:31:57,2019-04-21 00:00:00,6,5,200.0,13.0,64.0
6282,fbee64d1-dc96-4249-8bc8-85653bc85689,2018-01-04 03:55:34,2018-01-04 09:04:25,2018-04-24 09:55:23,2018-04-13 00:00:00,2,3,200.0,12.0,69.5
6283,9bafcb96-e215-4519-bae8-aa563438161a,2018-01-04 03:58:51,2018-02-04 09:01:00,2018-04-23 12:22:13,2018-11-01 00:00:00,6,6,200.0,,
6284,a11b5ae6-da4b-4838-9075-955d52e5f6cd,2018-01-04 04:12:38,2018-01-04 09:04:32,2018-04-21 01:20:34,,6,7,200.0,12.0,74.0
6285,ed04d02f-9841-4899-900e-6b51c21a6f18,2018-01-04 04:18:37,2018-02-04 09:01:00,2018-04-23 03:06:23,,6,8,200.0,14.0,71.8
6286,148fc8a4-48f0-416c-a3c2-5a6f062d169a,2018-01-04 04:19:41,2018-01-04 07:45:32,2018-04-20 10:18:58,,2,9,200.0,14.0,78.5
